City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
197,kralendijk,BQ,2022-05-27 04:15:22,12.15,-68.2667,82.38,78,40,14.97,scattered clouds,0.0,0
198,saint-philippe,RE,2022-05-27 04:15:23,-21.3585,55.7679,72.99,64,1,1.66,clear sky,0.0,0
199,khotyn,UA,2022-05-27 04:15:23,48.4833,26.5,57.99,75,56,3.74,broken clouds,0.0,0
200,nyurba,RU,2022-05-27 04:15:23,63.2842,118.3319,47.26,39,94,10.0,overcast clouds,0.0,0
201,vaitape,PF,2022-05-27 04:15:24,-16.5167,-151.75,80.92,66,3,13.67,clear sky,0.0,0
202,bukama,CD,2022-05-27 04:15:24,-9.2,25.85,60.78,58,20,3.36,few clouds,0.0,0
203,amapa,BR,2022-05-27 04:15:24,1.0,-52.0,70.66,100,100,1.12,overcast clouds,0.0,0
204,palmer,US,2022-05-27 04:15:25,42.1584,-72.3287,63.21,83,100,11.5,overcast clouds,0.0,0
205,carutapera,BR,2022-05-27 04:15:25,-1.195,-46.02,74.26,94,11,4.38,few clouds,0.0,0
206,mullovka,RU,2022-05-27 04:15:26,54.2,49.4,55.22,82,100,14.03,overcast clouds,0.0,0
207,bengkulu,ID,2022-05-27 04:15:26,-3.8004,102.2655,84.7,64,47,6.35,scattered clouds,0.0,0
208,praia da vitoria,PT,2022-05-27 04:15:26,38.7333,-27.0667,63.75,88,75,11.27,broken clouds,0.0,0
209,charlestown,AU,2022-05-27 04:12:57,-32.95,151.6667,73.02,68,14,1.99,few clouds,0.0,0
210,rawson,AR,2022-05-27 04:10:53,-43.3002,-65.1023,40.91,68,8,10.45,clear sky,0.0,0
211,bushehr,IR,2022-05-27 04:15:27,28.9684,50.8385,80.69,54,0,18.41,clear sky,0.0,0
212,wanning,CN,2022-05-27 04:15:27,18.8003,110.3967,88.12,66,96,9.53,overcast clouds,0.0,0
213,acacoyagua,MX,2022-05-27 04:15:28,15.35,-92.65,74.48,93,100,1.77,overcast clouds,0.0,0
214,ancud,CL,2022-05-27 04:15:28,-41.8697,-73.8203,41.74,85,6,3.44,clear sky,0.0,0
215,copiapo,CL,2022-05-27 04:15:29,-27.3667,-70.3333,53.29,58,0,1.97,clear sky,0.0,0
216,visnes,NO,2022-05-27 04:15:29,59.3556,5.2242,47.21,71,20,17.27,few clouds,0.0,0
217,broome,US,2022-05-27 04:15:29,42.2506,-75.833,68.45,80,100,9.22,overcast clouds,0.0,0
218,houma,US,2022-05-27 04:13:10,29.5958,-90.7195,73.0,77,0,4.61,clear sky,0.0,0
219,chenghai,CN,2022-05-27 04:15:30,23.4632,116.768,75.11,100,100,8.95,overcast clouds,0.0,0
220,tabas,IR,2022-05-27 04:15:30,33.5959,56.9244,78.69,28,0,7.29,clear sky,0.0,0
221,bolama,GW,2022-05-27 04:15:31,11.5833,-15.4667,79.54,82,91,8.9,light rain,0.0,0
222,port hardy,CA,2022-05-27 04:15:31,50.6996,-127.4199,50.18,100,100,2.3,light rain,0.0,0
223,imbituba,BR,2022-05-27 04:11:05,-28.24,-48.6703,67.86,99,100,2.98,overcast clouds,0.0,0
224,westport,US,2022-05-27 04:15:11,41.1415,-73.3579,65.3,87,100,3.0,overcast clouds,0.0,0
225,sao jose da coroa grande,BR,2022-05-27 04:15:31,-8.8978,-35.1478,76.08,86,66,12.97,broken clouds,0.0,0
226,yasnyy,RU,2022-05-27 04:15:32,51.0333,59.8742,54.81,54,39,7.4,scattered clouds,0.0,0
227,marsh harbour,BS,2022-05-27 04:15:32,26.5412,-77.0636,77.65,73,0,12.48,clear sky,0.0,0
228,sao filipe,CV,2022-05-27 04:15:33,14.8961,-24.4956,72.21,79,38,7.54,scattered clouds,0.0,0
229,sovetskaya gavan,RU,2022-05-27 04:12:17,48.9723,140.2878,55.17,74,100,4.74,overcast clouds,0.0,0
230,fuyang,CN,2022-05-27 04:15:33,32.9,115.8167,88.57,23,100,6.29,light rain,0.0,0
231,the valley,AI,2022-05-27 04:14:49,18.217,-63.0578,79.11,76,17,16.91,few clouds,0.0,0
232,shenjiamen,CN,2022-05-27 04:15:34,29.9576,122.298,70.0,76,100,5.48,overcast clouds,0.0,0
233,kununurra,AU,2022-05-27 04:15:34,-15.7667,128.7333,91.38,19,8,10.36,clear sky,0.0,0
